Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
3094947  18   1.54 iperf3 -s
3094947  19   1.33 iperf3 -s
3094947  24   1.95 iperf3 -s
3094947  26   1.17 iperf3 -s
3094947  27   0.07 iperf3 -s
3094947  38   3.42 iperf3 -s
3094947  39   0.11 iperf3 -s
3094947 sum  25.95 iperf3 -s
   PID CPU    PCT CMDLINE
3094947  24   3.63 iperf3 -s
3094947  25  11.01 iperf3 -s
3094947  26   2.61 iperf3 -s
3094947  27   8.14 iperf3 -s
3094947 sum  25.39 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.04 iperf3 -s
3094947   6  18.56 iperf3 -s
3094947  18   0.10 iperf3 -s
3094947  19   1.17 iperf3 -s
3094947  24   3.61 iperf3 -s
3094947  27   1.71 iperf3 -s
3094947 sum  25.19 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4  14.26 iperf3 -s
3094947   5   1.06 iperf3 -s
3094947   6   2.01 iperf3 -s
3094947   7   4.45 iperf3 -s
3094947  24   0.07 iperf3 -s
3094947  27   0.76 iperf3 -s
3094947  38   1.87 iperf3 -s
3094947  39   1.17 iperf3 -s
3094947 sum  25.65 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   6   0.77 iperf3 -s
3094947   7   2.61 iperf3 -s
3094947  18   1.98 iperf3 -s
3094947  19   0.85 iperf3 -s
3094947  24   1.56 iperf3 -s
3094947  25  11.51 iperf3 -s
3094947  26   1.13 iperf3 -s
3094947  27   1.54 iperf3 -s
3094947  39   3.79 iperf3 -s
3094947 sum  25.74 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   3.53 iperf3 -s
3094947   6   0.14 iperf3 -s
3094947   7   0.79 iperf3 -s
3094947  18   0.52 iperf3 -s
3094947  25  20.96 iperf3 -s
3094947  38   0.03 iperf3 -s
3094947 sum  25.97 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.94 iperf3 -s
3094947   5   0.22 iperf3 -s
3094947   6   1.51 iperf3 -s
3094947   7   0.03 iperf3 -s
3094947  18   5.86 iperf3 -s
3094947  19  12.14 iperf3 -s
3094947  24   1.51 iperf3 -s
3094947  25   1.78 iperf3 -s
3094947  26   0.13 iperf3 -s
3094947  27   1.14 iperf3 -s
3094947  38   0.68 iperf3 -s
3094947  39   0.10 iperf3 -s
3094947 sum  26.04 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   0.05 iperf3 -s
3094947   5   2.04 iperf3 -s
3094947   6   7.78 iperf3 -s
3094947   7   0.91 iperf3 -s
3094947  18   2.50 iperf3 -s
3094947  19   0.73 iperf3 -s
3094947  24   5.59 iperf3 -s
3094947  25   0.00 iperf3 -s
3094947  26   2.70 iperf3 -s
3094947  27   0.67 iperf3 -s
3094947  38   1.96 iperf3 -s
3094947  39   2.58 iperf3 -s
3094947 sum  27.51 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   5   2.19 iperf3 -s
3094947   6   0.02 iperf3 -s
3094947   7   3.52 iperf3 -s
3094947  18   2.30 iperf3 -s
3094947  19   0.71 iperf3 -s
3094947  24   3.40 iperf3 -s
3094947  25   0.04 iperf3 -s
3094947  26   3.52 iperf3 -s
3094947  27   8.26 iperf3 -s
3094947  38   2.03 iperf3 -s
3094947  39   0.77 iperf3 -s
3094947 sum  26.76 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   1.11 iperf3 -s
3094947   5   0.07 iperf3 -s
3094947   6   0.58 iperf3 -s
3094947  18   3.34 iperf3 -s
3094947  19   0.04 iperf3 -s
3094947  24   2.06 iperf3 -s
3094947  25   3.55 iperf3 -s
3094947  26   0.59 iperf3 -s
3094947  27   1.50 iperf3 -s
3094947  38   0.26 iperf3 -s
3094947  39  13.87 iperf3 -s
3094947 sum  26.97 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   2.39 iperf3 -s
3094947   5   2.29 iperf3 -s
3094947   6   0.37 iperf3 -s
3094947   7   3.77 iperf3 -s
3094947  18   2.49 iperf3 -s
3094947  19   6.64 iperf3 -s
3094947  26   0.21 iperf3 -s
3094947  27   3.82 iperf3 -s
3094947  38   0.52 iperf3 -s
3094947  39   4.47 iperf3 -s
3094947 sum  26.97 iperf3 -s
   PID CPU    PCT CMDLINE
3094947   4   2.58 iperf3 -s
3094947   5   8.61 iperf3 -s
3094947   6   0.23 iperf3 -s
3094947   7   0.02 iperf3 -s
3094947  18   0.66 iperf3 -s
