Monitoring CPU usage of iperf3   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
     0 sum   0.00 
   PID CPU    PCT CMDLINE
900952  38   6.75 iperf3 -s
900952  39   0.34 iperf3 -s
900952 sum  26.76 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.83 iperf3 -s
900952   5   0.05 iperf3 -s
900952   6   2.81 iperf3 -s
900952   7   1.63 iperf3 -s
900952  24  14.36 iperf3 -s
900952  38   6.24 iperf3 -s
900952  39   2.04 iperf3 -s
900952 sum  27.96 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   0.28 iperf3 -s
900952   6   8.84 iperf3 -s
900952  24   3.74 iperf3 -s
900952  26   2.52 iperf3 -s
900952  27   0.08 iperf3 -s
900952  38  14.18 iperf3 -s
900952  39   0.31 iperf3 -s
900952 sum  29.95 iperf3 -s
   PID CPU    PCT CMDLINE
900952   6   3.76 iperf3 -s
900952   7   1.12 iperf3 -s
900952  18   0.44 iperf3 -s
900952  19   3.36 iperf3 -s
900952  24   2.37 iperf3 -s
900952  25  10.19 iperf3 -s
900952  26   7.88 iperf3 -s
900952 sum  29.12 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   7.01 iperf3 -s
900952   6   0.48 iperf3 -s
900952   7   1.01 iperf3 -s
900952  18   0.11 iperf3 -s
900952  19   2.54 iperf3 -s
900952  24   1.94 iperf3 -s
900952  25   0.06 iperf3 -s
900952  26   8.39 iperf3 -s
900952  27   2.72 iperf3 -s
900952  38   1.81 iperf3 -s
900952  39   0.95 iperf3 -s
900952 sum  27.02 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   3.85 iperf3 -s
900952   5   0.11 iperf3 -s
900952   6   2.23 iperf3 -s
900952   7   0.20 iperf3 -s
900952  18   1.03 iperf3 -s
900952  19   9.29 iperf3 -s
900952  24   2.46 iperf3 -s
900952  25   0.21 iperf3 -s
900952  26   0.19 iperf3 -s
900952  27   5.99 iperf3 -s
900952  38   0.94 iperf3 -s
900952  39   0.96 iperf3 -s
900952 sum  27.46 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   1.67 iperf3 -s
900952   6   2.66 iperf3 -s
900952   7   0.28 iperf3 -s
900952  18   1.72 iperf3 -s
900952  19   1.98 iperf3 -s
900952  24  14.17 iperf3 -s
900952  25   0.31 iperf3 -s
900952  26   0.02 iperf3 -s
900952  38   1.09 iperf3 -s
900952  39   3.77 iperf3 -s
900952 sum  27.67 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   5.19 iperf3 -s
900952  24   3.72 iperf3 -s
900952  27   0.76 iperf3 -s
900952  38  13.19 iperf3 -s
900952  39   3.37 iperf3 -s
900952 sum  26.23 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   3.98 iperf3 -s
900952   6  15.08 iperf3 -s
900952   7   0.50 iperf3 -s
900952  18   1.22 iperf3 -s
900952  19   0.84 iperf3 -s
900952  25   1.58 iperf3 -s
900952  26   9.27 iperf3 -s
900952 sum  32.47 iperf3 -s
   PID CPU    PCT CMDLINE
900952   6   3.82 iperf3 -s
900952   7  14.17 iperf3 -s
900952  18   0.04 iperf3 -s
900952  19   0.03 iperf3 -s
900952  24   0.45 iperf3 -s
900952  25   9.61 iperf3 -s
900952 sum  28.12 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   3.13 iperf3 -s
900952   5   0.21 iperf3 -s
900952   6   1.35 iperf3 -s
900952   7   0.36 iperf3 -s
900952  18  17.99 iperf3 -s
900952  25   3.77 iperf3 -s
900952 sum  26.81 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   9.56 iperf3 -s
900952   7   1.56 iperf3 -s
900952  18   3.28 iperf3 -s
900952  19   0.75 iperf3 -s
900952  25   0.70 iperf3 -s
900952  26   2.81 iperf3 -s
900952  27   0.53 iperf3 -s
900952  38   0.73 iperf3 -s
900952  39   6.67 iperf3 -s
900952 sum  26.59 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   3.75 iperf3 -s
900952   7   0.47 iperf3 -s
900952  24   0.21 iperf3 -s
900952  25  22.35 iperf3 -s
900952 sum  26.78 iperf3 -s
   PID CPU    PCT CMDLINE
900952  25   8.67 iperf3 -s
900952  27   2.14 iperf3 -s
900952  39  15.81 iperf3 -s
900952 sum  26.62 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.55 iperf3 -s
900952   5   1.14 iperf3 -s
900952   6   0.85 iperf3 -s
900952   7   0.16 iperf3 -s
900952  18   3.28 iperf3 -s
900952  19  13.53 iperf3 -s
900952  25   0.67 iperf3 -s
900952  26   0.03 iperf3 -s
900952  39   6.73 iperf3 -s
900952 sum  26.94 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   2.96 iperf3 -s
900952   5   6.43 iperf3 -s
900952   7   0.28 iperf3 -s
900952  18   0.03 iperf3 -s
900952  24  10.29 iperf3 -s
900952  27   4.76 iperf3 -s
900952  38   0.30 iperf3 -s
900952  39   1.35 iperf3 -s
900952 sum  26.40 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   4.08 iperf3 -s
900952   7   0.18 iperf3 -s
900952  24   1.99 iperf3 -s
900952  25  20.43 iperf3 -s
900952 sum  26.68 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.04 iperf3 -s
900952   5   0.09 iperf3 -s
900952   6   0.31 iperf3 -s
900952   7   0.09 iperf3 -s
900952  25   4.89 iperf3 -s
900952  26   0.02 iperf3 -s
900952  27  19.97 iperf3 -s
900952  38   0.95 iperf3 -s
900952 sum  26.36 iperf3 -s
   PID CPU    PCT CMDLINE
900952   6   0.55 iperf3 -s
900952   7   0.15 iperf3 -s
900952  18   2.96 iperf3 -s
900952  24   0.01 iperf3 -s
900952  26   9.66 iperf3 -s
900952  27   4.83 iperf3 -s
900952  38   8.08 iperf3 -s
900952 sum  26.24 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   0.58 iperf3 -s
900952   5   1.92 iperf3 -s
900952   6   7.06 iperf3 -s
900952   7   1.98 iperf3 -s
900952  18   4.29 iperf3 -s
900952  19   0.15 iperf3 -s
900952  25   0.10 iperf3 -s
900952  38  12.78 iperf3 -s
900952  39   0.38 iperf3 -s
900952 sum  29.24 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   2.33 iperf3 -s
900952   5   0.09 iperf3 -s
900952   6   6.27 iperf3 -s
900952   7   1.31 iperf3 -s
900952  18   0.98 iperf3 -s
900952  19   4.33 iperf3 -s
900952  24   2.87 iperf3 -s
900952  25   1.95 iperf3 -s
900952  26   7.68 iperf3 -s
900952  27   0.25 iperf3 -s
900952  38   0.63 iperf3 -s
900952  39   0.34 iperf3 -s
900952 sum  29.03 iperf3 -s
   PID CPU    PCT CMDLINE
900952   5   1.89 iperf3 -s
900952   6   0.81 iperf3 -s
900952   7   0.40 iperf3 -s
900952  18   0.98 iperf3 -s
900952  19   2.34 iperf3 -s
900952  24   1.46 iperf3 -s
900952  25   2.22 iperf3 -s
900952  26   6.26 iperf3 -s
900952  27   4.68 iperf3 -s
900952  38   1.29 iperf3 -s
900952  39   4.45 iperf3 -s
900952 sum  26.78 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   1.09 iperf3 -s
900952   5   0.56 iperf3 -s
900952   6   0.01 iperf3 -s
900952  18   3.60 iperf3 -s
900952  19  11.67 iperf3 -s
900952  25   1.47 iperf3 -s
900952  26   0.18 iperf3 -s
900952  27   4.55 iperf3 -s
900952  38   1.88 iperf3 -s
900952  39   1.05 iperf3 -s
900952 sum  26.06 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   1.53 iperf3 -s
900952   5   1.46 iperf3 -s
900952   6   3.97 iperf3 -s
900952   7   0.60 iperf3 -s
900952  18   2.93 iperf3 -s
900952  19   6.44 iperf3 -s
900952  24   0.63 iperf3 -s
900952  25   0.73 iperf3 -s
900952  27   0.63 iperf3 -s
900952  38   0.27 iperf3 -s
900952  39   8.56 iperf3 -s
900952 sum  27.75 iperf3 -s
   PID CPU    PCT CMDLINE
900952   4   1.47 iperf3 -s
900952   7   0.29 iperf3 -s
900952  18   0.53 iperf3 -s
900952  19   5.86 iperf3 -s
900952  24   4.00 iperf3 -s
900952  25   0.02 iperf3 -s
900952  26  12.54 iperf3 -s
